Pclass,Age,Sex,Fare,Parch,SibSp,Survived,n_Pclass,n_Age,n_Sex,n_Fare,n_Parch,n_SibSp,n_Survived
3,28,female,20.8,3,0,0,3,28,female,20.8,3,0,1
3,43,female,34.72,0,0,0,2,43,female,34.72,0,0,1
1,1,male,38.34,0,0,0,1,1,female,38.34,0,0,1
1,2,male,451.12,1,0,0,2,2,male,451.12,1,0,1
1,3,male,410.85,0,0,0,2,3,male,410.85,0,0,1
1,5,male,36.57,0,0,0,2,5,male,36.56,0,0,1
1,8,male,30.35,0,0,0,2,8,male,30.35,0,0,1
1,9,male,2.02,0,0,0,2,9,male,2.03,0,0,1
1,19,male,63.18,0,0,0,1,19,female,63.18,0,0,1
1,22,male,184.8,0,0,0,1,22,female,184.8,0,0,1
1,27,male,121.83,0,1,0,1,27,female,121.83,0,1,1
2,13,male,9.85,1,0,0,2,13,female,9.85,1,0,1
2,36,male,42.33,0,0,0,2,36,female,42.33,0,0,1
2,57,male,107.39,0,0,0,2,57,female,107.39,0,0,1
2,79,male,80.81,0,0,0,2,79,female,80.81,0,0,1
3,10,male,1.86,0,0,0,3,9,male,1.88,0,0,1
3,10,male,3.35,0,0,0,3,9,male,3.36,0,0,1
3,10,male,107.38,0,2,0,3,9,male,107.38,0,2,1
3,17,male,18.22,0,0,0,3,17,female,18.22,0,0,1
3,26,male,16.09,0,5,0,3,26,female,16.09,0,5,1
